air_temperature_celsius,auxiliary_equipment,auxiliary_equipment_id,barometer,bottom_salinity,bottom_temp_c,bottom_types,bridge,cloud_coverage_code,created_at,created_by,created_by_id,crow_distance,cruise,cruise_id,distance_towed,distance_towed_obtained_code,duration,end_date,end_depth_m,end_latitude,end_latitude_DD,end_latitude_MMmm,end_longitude,end_longitude_DD,end_longitude_MMmm,experiment_type,experiment_type_id,fill_percent,force_complete,gear_type,gear_type_id,hopper_used,id,is_active,is_opened,light_intensity,light_intensity_id,logging_on,max_depth_m,min_depth_m,nafo_area,operations,port_warp,precipitation,recorder,remarks,sea_state_code,set_number,set_result,set_result_id,ship_direction,ship_speed,ship_speed_obtained_code,shrimp_fishing_unit,shrimp_management,shrimp_management_id,speed,starboard_warp,start_date,start_depth_m,start_latitude,start_latitude_DD,start_latitude_MMmm,start_longitude,start_longitude_DD,start_longitude_MMmm,station_number,stratum,swell_direction,swell_height_code,swell_period_code,temp_logger_number,tide_direction_code,track_distance,trap_number,trawl_cable_length,trawl_opening,trawl_retention_cable,trawling_unit,updated_at,updated_by,updated_by_id,uuid,warp_units_code,wave_height,wave_period_code,weather_code,wind_direction_code,wind_direction_degree,wind_force_code,wind_force_kts
18.0,0 - No auxiliary equipment,1,1006.0,32.1,1.52,,Greg Macdonald,2 - 2 eighths,2023-09-08 18:54:11 UTC,sylvainf,69,0.981158365783611,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.73,2023-09-09 01:00:04 UTC,74.21,46.90885,46,54.531000000000255,-61.10435,-61,6.260999999999573,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,430,No,No,,,Yes,75.23,71.19,4TG,"Fishing, CTD",223,,Logan Clark,,,11,1 - NORMAL - No damage to gear,1,024,2.5,1 - Ships log or distance program,,,,2.98,223,2023-09-09 00:40:20 UTC,74.31,46.893683333333335,46,53.62100000000016,-61.11318333333333,-61,6.7909999999998645,130,434,,1.0,,,,0.9811384597484358,,,,,,2023-09-09 02:40:51 UTC,bridge,31,35a61fc0-cfb8-30ff-a72e-5139d63c75ee,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,3 - 068° to 112° (east),95.0,3 - 7 to 10 kts (gentle breeze),8.0
18.0,0 - No auxiliary equipment,1,1005.0,32.49,2.01,,Glenn D’Entremont,4 - 4 eighths,2023-09-08 18:54:37 UTC,sylvainf,69,1.0154510326430966,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.43,2023-09-09 03:22:01 UTC,118.33,46.87996666666667,46,52.79800000000008,-60.906616666666665,-60,54.39700000000012,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,431,No,No,,,Yes,120.9,117.14,4TG,"Fishing, CTD",287,,Logan Clark,,,12,1 - NORMAL - No damage to gear,1,028,3.0,1 - Ships log or distance program,,,,2.98,287,2023-09-09 03:01:35 UTC,117.6,46.86516666666667,46,51.910000000000096,-60.918533333333336,-60,55.112000000000016,151,437,,1.0,,,,1.0120275112647097,,,,,,2023-09-09 05:28:05 UTC,bridge,31,ddd73e6c-d17c-333f-8691-7c6fdf1c7016,1 - meters,,,3 - Clouds generally forming or developing; Characteristic change of the state of sky during the past hour,3 - 068° to 112° (east),90.0,3 - 7 to 10 kts (gentle breeze),8.0
18.0,0 - No auxiliary equipment,1,1015.0,33.4,3.88,,Glenn D’Entremont,3 - 3 eighths,2023-09-08 18:54:52 UTC,sylvainf,69,1.0228651520774217,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.38,2023-09-09 06:08:26 UTC,114.31,47.094366666666666,47,5.6620000000000195,-60.90036666666666,-60,54.02199999999963,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,432,No,No,,,Yes,115.73,112.64,4TF,"Fishing, CTD, Zooplankton Tow",280,,Logan Clark,,,13,1 - NORMAL - No damage to gear,1,011,3.0,1 - Ships log or distance program,,,,3.01,280,2023-09-09 05:48:03 UTC,113.64,47.07868333333333,47,4.72099999999967,-60.89066666666667,-60,53.439999999999905,152,437,,2.0,,,,1.0200493923803122,,,,,,2023-09-09 07:30:01 UTC,bridge,31,21c900f6-3bb9-36c5-a91f-22198d36dd3a,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,5 - 158° to 202° (south),200.0,5 - 17 to 21 kts (fresh breeze),19.0
22.0,2 - Rollers plus Codend only - no liners,3,1015.1,33.86,5.09,,Glenn D’Entremont,6 - 6 eighths,2023-09-08 22:38:13 UTC,sylvainf,69,1.0044558058131845,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.45,2023-09-09 10:06:26 UTC,160.22,47.110866666666666,47,6.651999999999923,-60.41081666666667,-60,24.64900000000004,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,433,No,No,,,Yes,160.87,158.12,4TF,"Fishing, CTD",396,,Maxime Gauvin,,,14,1 - NORMAL - No damage to gear,1,270,3.0,4 - LORAN bearings or GPS,,,,2.95,393,2023-09-09 09:45:59 UTC,159.33,47.110566666666664,47,6.63399999999965,-60.386266666666664,-60,23.175999999999963,149,437,,1.0,,,,1.0106624887295392,,,,,,2023-09-09 12:58:16 UTC,bridge,31,c4b77f21-6467-3fbb-8ae8-37408442ceb6,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,5 - 158° to 202° (south),165.0,3 - 7 to 10 kts (gentle breeze),9.0
20.9,2 - Rollers plus Codend only - no liners,3,1015.9,34.78,7.01,,Glenn D’Entremont,8 - 8 eighths,2023-09-08 22:38:28 UTC,sylvainf,69,0.9846376143893159,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.97,2023-09-09 12:56:25 UTC,182.76,47.196733333333334,47,11.803999999999844,-60.36651666666667,-60,21.991000000000348,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,434,No,No,,,Yes,185.13,182.48,4TF,"Fishing, CTD, Zooplankton Tow",427,,Maxime Gauvin,,,15,1 - NORMAL - No damage to gear,1,190,3.0,4 - LORAN bearings or GPS,,,,2.96,425,2023-09-09 12:36:27 UTC,184.27,47.21285,47,12.771000000000155,-60.3622,-60,21.732000000000212,160,439,,1.0,,,,0.9824401064925606,,,,,,2023-09-09 14:09:27 UTC,bridge,31,a683db5a-23d3-3bf1-a507-6db3cad9398a,1 - meters,,,3 - Clouds generally forming or developing; Characteristic change of the state of sky during the past hour,6 - 203° to 247° (southwest),230.0,5 - 17 to 21 kts (fresh breeze),20.0
20.5,2 - Rollers plus Codend only - no liners,3,1016.1,32.2,1.82,,Greg Macdonald,8 - 8 eighths,2023-09-09 08:58:07 UTC,sylvainf,69,1.0366085798720797,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.1,2023-09-09 15:41:19 UTC,112.82,47.34118333333333,47,20.471000000000156,-60.3454,-60,20.72400000000004,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,435,No,No,,,Yes,114.05,110.93,4TF,"Fishing, CTD",287,,Maxime Gauvin,,,16,1 - NORMAL - No damage to gear,1,017,3.0,8 - Satelite navigation,,,,3.09,288,2023-09-09 15:21:13 UTC,112.39,47.3247,47,19.482000000000212,-60.35288333333333,-60,21.173000000000076,156,438,,0.7,,,,1.0342617529969227,,,,,,2023-09-09 16:52:30 UTC,bridge,31,bb497a4f-b807-3a1c-b176-f82b10d93a31,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,6 - 203° to 247° (southwest),230.0,5 - 17 to 21 kts (fresh breeze),20.0
20.0,0 - No auxiliary equipment,1,1015.0,32.06,1.56,,Greg Macdonald,8 - 8 eighths,2023-09-09 11:30:34 UTC,sylvainf,69,0.856868500810886,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,17.2,2023-09-09 17:56:27 UTC,63.62,47.3498,47,20.987999999999982,-60.5862,-60,35.17200000000012,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,436,No,No,,,Yes,63.96,62.33,4TF,"Fishing, CTD",213,,Jon Savoie,"Minor damage, hole about 1 foot wide, cod end not affected.",,17,2 - NORMAL - Minor damage to gear - Catch unaffected,2,233,3.0,1 - Ships log or distance program,,,,2.99,213,2023-09-09 17:39:15 UTC,62.74,47.357816666666665,47,21.46899999999975,-60.5688,-60,34.12800000000037,146,436,,2.0,,,,0.8537544230493711,,,,,,2023-09-09 19:20:10 UTC,sylvainf,69,1c6fb6e6-d89d-3957-a10f-94f131fbf97a,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,6 - 203° to 247° (southwest),223.0,6 - 22 to 27 kts (strong breeze),22.0
19.0,0 - No auxiliary equipment,1,1015.0,32.65,2.11,,Greg Macdonald,2 - 2 eighths,2023-09-09 11:30:44 UTC,sylvainf,69,0.8438098062754423,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,17.03,2023-09-09 21:10:44 UTC,101.94,47.52993333333333,47,31.796000000000156,-60.535466666666665,-60,32.127999999999886,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,437,No,No,,,Yes,112.73,102.16,4TF,"Fishing, CTD",57,,Logan Clark,,,18,1 - NORMAL - No damage to gear,1,004,3.0,1 - Ships log or distance program,,,,2.97,57,2023-09-09 20:53:42 UTC,109.27,47.51635,47,30.981000000000254,-60.53021666666667,-60,31.81299999999998,154,438,,1.0,,,,0.8555168929569181,,,,,,2023-09-09 22:20:08 UTC,bridge,31,81a4d94f-a257-3912-879c-6926f70699f8,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,6 - 203° to 247° (southwest),220.0,5 - 17 to 21 kts (fresh breeze),19.0
19.0,0 - No auxiliary equipment,1,1015.0,34.91,6.79,,Greg Macdonald,3 - 3 eighths,2023-09-09 15:24:34 UTC,sylvainf,69,0.9924821093827862,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.98,2023-09-09 23:09:12 UTC,301.13,47.64568333333333,47,38.740999999999865,-60.458783333333336,-60,27.527000000000406,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,438,No,No,,,Yes,311.99,300.68,4TF,"Fishing, CTD",695,,Logan Clark,,,19,1 - NORMAL - No damage to gear,1,344,3.0,1 - Ships log or distance program,,,,2.98,695,2023-09-09 22:49:13 UTC,311.99,47.62955,47,37.773000000000074,-60.45356666666667,-60,27.213999999999942,159,439,,1.0,,,,0.986779258701655,,,,,,2023-09-10 00:33:16 UTC,bridge,31,be2ccfbd-0d42-3215-ae5c-ae3df1dc8e19,1 - meters,,,3 - Clouds generally forming or developing; Characteristic change of the state of sky during the past hour,6 - 203° to 247° (southwest),220.0,5 - 17 to 21 kts (fresh breeze),20.0
19.0,0 - No auxiliary equipment,1,1015.0,32.88,2.51,,Greg Macdonald,4 - 4 eighths,2023-09-09 15:24:43 UTC,sylvainf,69,0.07302994679044465,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,1.68,2023-09-10 01:26:05 UTC,121.5,47.65708333333333,47,39.425,-60.557183333333334,-60,33.43100000000025,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,439,No,No,,,Yes,121.89,119.5,4TF,"Fishing, CTD",215,,Logan Clark,"Issue with net on bottom time on ANDES, thus start coordinates and tow duration are not correct. Net was on bottom for 19min 30 sec. Coordinates for start of tow are 47 deg 38.63 min N, 060 deg 32.77 min W. Distance towed was 0.93 nm. Valid tow.",,20,1 - NORMAL - No damage to gear,1,326,3.0,1 - Ships log or distance program,,,,2.61,215,2023-09-10 01:24:24 UTC,119.87,47.656,47,39.3600000000001,-60.55636666666667,-60,33.38200000000021,241,438,,1.0,,,,0.0700291504008346,,,,,,2023-09-10 13:25:07 UTC,sylvainf,69,28220390-4458-382a-92cf-6de6a8868943,1 - meters,,,3 - Clouds generally forming or developing; Characteristic change of the state of sky during the past hour,6 - 203° to 247° (southwest),230.0,5 - 17 to 21 kts (fresh breeze),18.0
18.0,0 - No auxiliary equipment,1,1015.0,34.87,7.04,,Glenn D’Entremont,7 - 7 eighths,2023-09-09 22:02:21 UTC,sylvainf,69,0.9964678558537441,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.07,2023-09-10 04:03:58 UTC,286.26,47.81698333333333,47,49.01899999999975,-60.611716666666666,-60,36.70299999999988,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,440,No,No,,,Yes,287.44,282.94,4TF,"Fishing, CTD",650,,Logan Clark,,,21,1 - NORMAL - No damage to gear,1,319,3.0,1 - Ships log or distance program,,,,2.98,650,2023-09-10 03:43:54 UTC,283.14,47.80453333333333,47,48.27200000000012,-60.595416666666665,-60,35.725,158,439,,1.0,,,,0.9951142057296418,,,,,,2023-09-10 07:05:31 UTC,bridge,31,212a6ee1-8795-3c9f-a00e-17e717547b5c,1 - meters,,,"17 - Thunderstorm, but no precipitation at the time of observation",6 - 203° to 247° (southwest),220.0,4 - 11 to 16 kts (moderate breeze),15.0
18.0,0 - No auxiliary equipment,1,1015.0,,,,Glenn D’Entremont,7 - 7 eighths,2023-09-09 22:02:40 UTC,sylvainf,69,0.9949734135759264,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.12,2023-09-10 06:46:48 UTC,80.62,47.8176,47,49.05599999999977,-60.823116666666664,-60,49.38700000000002,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,441,No,No,,,Yes,81.96,79.69,4TF,"Fishing, CTD",228,,Logan Clark,,,22,5 - FAILED - Fishing gears,5,175,3.0,1 - Ships log or distance program,,,,2.97,228,2023-09-10 06:26:41 UTC,80.74,47.803333333333335,47,48.2,-60.81061666666667,-60,48.63700000000002,142,436,,1.0,,,,0.9913957088154749,,,,,,2023-09-10 07:44:07 UTC,bridge,31,25d1bb6a-cfa9-37d5-9d22-5caf7641cbd0,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,5 - 158° to 202° (south),200.0,3 - 7 to 10 kts (gentle breeze),10.0
18.0,0 - No auxiliary equipment,1,1015.0,32.13,1.04,,Glenn D’Entremont,6 - 6 eighths,2023-09-10 07:36:35 UTC,sylvainf,69,0.9938472850900704,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.27,2023-09-10 08:23:33 UTC,81.05,47.819183333333335,47,49.15099999999996,-60.82386666666667,-60,49.432000000000215,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,445,No,No,,,Yes,82.14,80.13,4TF,"Fishing, CTD",228,,Logan Clark,,,23,1 - NORMAL - No damage to gear,1,312,3.0,1 - Ships log or distance program,,,,2.94,228,2023-09-10 08:03:17 UTC,80.93,47.8051,47,48.30600000000025,-60.810966666666666,-60,48.65799999999969,142,436,,0.5,,,,0.9930664682428604,,,,,,2023-09-10 09:55:13 UTC,bridge,31,7e2955b3-2ec2-3fbc-afb1-8a9f2257203b,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,8 - 293° to 337° (northwest),320.0,4 - 11 to 16 kts (moderate breeze),12.0
